"","book_id","literariness_read","author","title","avg_sentence_length","sentence_length_variance"
"1",2,5.49585406301824,"Zwagerman, Joost","Duel",12.9347,10.1901
"2",4,5.51048951048951,"Abdolah, Kader","De kraai",12.3964,7.4167
"3",6,5.8258785942492,"Lanoye, Tom","Heldere hemel",11.1145,8.513
"4",9,4.96244635193133,"Kooten, Kees van","De verrekijker",14.9753,13.2983
"5",11,5.84426229508197,"Buwalda, Peter","Bonita Avenue",14.2836,12.0533
"6",12,5.08507670850767,"Koch, Herman","Zomerhuis met zwembad",10.2565,7.231
"7",13,3.62890625,"Noort, Saskia","Koorts",9.8584,7.1336
"8",14,3.81446540880503,"Vlugt, Simone van der","Op klaarlichte dag",12.9557,7.5382
"9",16,3.71813725490196,"Verhoef, Esther","Déjà vu",10.6287,7.0441
"10",17,3.5045871559633,"Kluun","Haantjes",12.1388,8.8754
"11",28,6.28515625,"Heijden, A.F.Th van der","Tonio",13.6133,9.3659
"12",29,3.46296296296296,"Vermeer, Suzanne","Bella Italia",11.8697,7.4021
"13",32,5.35585042219542,"Treur, Franca","Dorsvloer vol confetti",14.2215,10.2246
"14",33,5.11550888529887,"Koch, Herman","Het diner",13.9447,10.7782
"15",34,6.11312849162011,"Japin, Arthur","Vaslav",17.1769,12.9249
"16",36,4.20461095100865,"Verhoef, Esther","Tegenlicht",10.7652,8.0116
"17",38,3.11219512195122,"Vermeer, Suzanne","Cruise",11.1601,6.1649
"18",42,4.03004291845494,"Vlugt, Simone van der","In mijn dromen",13.3091,8.0554
"19",43,6.07223796033994,"Dis, Adriaan van","Tikkop",9.8412,7.0252
"20",44,3.37327188940092,"Vermeer, Suzanne","De suite",12.3644,7.0799
"21",45,4.45744680851064,"Vuijsje, Robert","Alleen maar nette mensen",9.4781,7.3247
"22",47,3.06550218340611,"Vermeer, Suzanne","Après-ski",11.2984,6.3078
"23",48,4.7452380952381,"Ravelli","De Vliegenvanger",12.061,7.9616
"24",52,5.81196581196581,"Enquist, Anna","De verdovers",10.1219,6.8849
"25",57,3.10373443983402,"Vermeer, Suzanne","Zwarte piste",11.5621,6.6328
"26",61,4.03761755485893,"Vermeer, Suzanne","Noorderlicht",12.2677,7.712
"27",64,3.41608876560333,"Noort, Saskia","De eetclub",12.3296,9.2562
"28",70,4.02651515151515,"Vermeer, Suzanne","Zomertijd",10.3019,5.873
"29",75,4.06292134831461,"Spijker, Rita","Tussen zussen",9.4541,5.6147
"30",77,6.15855855855856,"Grunberg, Arnon","Huid en haar",10.3095,7.729
"31",79,3.81276595744681,"Vermeer, Suzanne","De vlucht",11.2865,6.4275
"32",83,2.73626373626374,"Middelbeek, Mariette","Single en sexy",10.377,7.0704
"33",89,3.35111111111111,"Vermeer, Suzanne","Bon Bini beach",11.1954,7.3761
"34",92,5.86124401913876,"Moor, Marente de","De Nederlandse maagd",12.4148,8.4884
"35",93,3.97333333333333,"Verhoef, Esther","Alles te verliezen",11.5105,8.0877
"36",95,3.83941605839416,"Hollander, Loes den","Wisselgeld",8.5734,5.5673
"37",98,3.45791245791246,"Pauw, Marion","Jetset",10.2029,7.0076
"38",99,5.93540051679587,"Siebelink, Jan","Het lichaam van Clara",10.0062,7.0936
"39",104,4.14146341463415,"Slee, Carry","Fatale liefde",8.4835,5.1003
"40",105,5.83663366336634,"Abdolah, Kader","De koning",13.9118,8.1673
"41",110,4.97654941373534,"Dorrestein, Renate","De leesclub",13.4346,9.6761
"42",116,4.73208722741433,"Kwast, Ernest van der","Mama Tandoori",11.3659,6.8331
"43",119,5.05894308943089,"Mak, Geert","Reizen zonder John",17.0262,10.7875
"44",120,4.83798882681564,"Vlugt, Simone van der","Rode sneeuw in december",13.9451,8.2933
"45",121,3.93390804597701,"Kroonenberg, Yvonne","De familieblues",12.8063,7.9438
"46",122,5.46555323590814,"Winter, Leon de","VSV of daden van onbaatzuchtigheid",10.3292,8.1709
"47",123,3.90939597315436,"Hollander, Loes den","Zielsverwanten",9.6576,6.1178
"48",129,4.12365591397849,"Hollander, Loes den","Krachtmeting",9.9092,6.1961
"49",131,4.78823529411765,"Dijkshoorn, Nico","Nooit ziek geweest",8.4368,5.7631
"50",133,3.17972350230415,"Royen, Heleen van","De mannentester",11.3684,7.9092
"51",136,3.0468085106383,"Sambeek, Ciel van","Bloed zaad en tranen",11.1152,7.0074
"52",137,5.66468253968254,"Durlacher, Jessica","De held",12.4773,9.7943
"53",144,3.89733840304183,"Hollander, Loes den","Vluchtgedrag",9.8406,6.1786
"54",148,3.34215885947047,"Noort, Saskia","De verbouwing",11.2958,8.1096
"55",150,3.74721189591078,"Hollander, Loes den","Driftleven",8.3378,5.3584
"56",153,4.95642701525054,"Smit, Susan","Vloed",15.0388,8.8886
"57",154,4.85807860262009,"Vlugt, Simone van der","Jacoba, Dochter van Holland",13.147,7.3108
"58",156,3.74,"Hollander, Loes den","Dwaalspoor",8.506,5.6097
"59",162,3.75618374558304,"Hollander, Loes den","Broeinest",10.5461,6.596
"60",163,5.53131749460043,"Dorrestein, Renate","De stiefmoeder",11.5823,8.532
"61",164,4.29338842975207,"Launspach, Rik","1953",13.4403,9.4895
"62",165,4.08852459016393,"Hollander, Loes den","Troostkind",10.4008,6.5627
"63",166,6.11130136986301,"Grunberg, Arnon","De man zonder ziekte",10.9202,7.3776
"64",173,5.11324041811847,"Zwaan, Josha","Parnassia",10.0711,6.2597
"65",175,2.78867924528302,"Baantjer, Appie / Waal, Simon de","Een lijk in de kast",10.7577,7.6467
"66",181,2.66037735849057,"Baantjer, Appie / Waal, Simon de","Een dief in de nacht",10.266,7.1218
"67",182,5.34042553191489,"Giphart, Ronald","IJsland",12.8822,9.6572
"68",185,5.76338514680484,"Beijnum, Kees van","Een soort familie",18.5231,13.8265
"69",186,3.52352941176471,"Slee, Carry","Bangkok Boy",7.9438,4.6062
"70",187,3.96987951807229,"Hollander, Loes den","De kat op zolder",12.5334,7.7101
"71",191,3.93805309734513,"Vlugt, Simone van der","Blauw water",12.5633,7.4928
"72",192,3.32019704433498,"Rijn, Linda van","Last Minute",10.9211,6.9646
"73",195,4.00333333333333,"Vlugt, Simone van der","Herfstlied",11.6047,7.1075
"74",196,4.00917431192661,"Verhoef, Esther","Erken mij",10.7606,7.7332
"75",200,6.0531561461794,"Voskuil, J.J.","De buurman",10.5215,8.1821
"76",205,4.12980769230769,"Tex, Charles den","Spijt",12.1196,8.3282
"77",208,3.71586715867159,"Noort, Saskia","Afgunst",9.6353,6.8462
"78",209,4.22651933701657,"Dijkzeul, Lieneke","Gouden bergen",11.9684,9.046
"79",212,6.16851168511685,"Japin, Arthur","De overgave",15.308,11.3345
"80",213,3.5364238410596,"Bezaz, Naima El","Vinexvrouwen",10.3545,6.9166
"81",214,3.71100917431193,"Hollander, Loes den","Naaktportret",10.6095,6.574
"82",215,6.20282413350449,"Wieringa, Tommy","Caesarion",11.099,8.2048
"83",217,6.1640625,"Rosenboom, Thomas","Mechanica",18.5324,14.4834
"84",220,2.97560975609756,"Wageningen, Gerda van","In de schemering",14.2159,10.1269
"85",221,5.89722675367047,"Moor, Margriet de","De schilder en het meisje",15.9127,12.103
"86",222,2.83969465648855,"Baantjer, Appie / Waal, Simon de","Een rat in de val",11.0034,7.3874
"87",225,4,"Berg, Greetje van den","Ergens achteraan",12.0895,7.444
"88",226,3.84699453551913,"Hollander, Loes den","Uitglijder",10.4164,6.335
"89",229,6.60246913580247,"Mortier, Erwin","Godenslaap",19.4653,16.9579
"90",236,5.08571428571429,"Jansen, Suzanna","De pronkspiegel",12.3286,7.1835
"91",237,2.9,"Wisse, Clemens","De jonge boerin van Madezicht",15.9256,9.5985
"92",239,6.37276478679505,"Lanoye, Tom","Sprakeloos",14.3443,13.3053
"93",240,6.16521739130435,"Rosenboom, Thomas","Zoete mond",18.9832,15.6898
"94",243,3.28571428571429,"Burgers-Drost, Julia","Tussen hart en verstand",8.9405,5.4622
"95",245,2.88111888111888,"Baantjer, Appie / Waal, Simon de","Een schot in de roos",9.5293,6.4298
"96",248,3.05970149253731,"Smeets, Mart","De afrekening",14.1887,9.8696
"97",250,3.92125984251969,"Hollander, Loes den","Het scherventapijt",10.7442,6.6693
"98",256,5.86245353159851,"Hart, Maarten 't","Verlovingstijd",14.254,11.4009
"99",257,5.52083333333333,"Voskuijl, Anouschka","Dorp",12.8463,8.8103
"100",259,4.09090909090909,"Dijkzeul, Lieneke","Koude lente",12.5137,9.301
"101",261,2.82857142857143,"Luiten, Hetty","Je blijft altijd welkom",10.4282,7.349
"102",264,6.26462765957447,"Enter, Stephan","Grip",16.3422,12.889
"103",266,4.22397476340694,"Dijkzeul, Lieneke","Verloren zoon",11.1932,8.2273
"104",268,3.86602870813397,"Hollander, Loes den","Glansrol",10.5025,6.5495
"105",270,6.0379746835443,"Wieringa, Tommy","Portret van een heer",14.616,9.9834
"106",271,3.09090909090909,"Smeets, Mart","Een koud kunstje",13.1931,9.2411
"107",274,5.01680672268908,"Meer, Vonne van der","Het zingen, het water, de peen",14.327,9.6563
"108",277,2.83333333333333,"Middelbeek, Mariette","Turbulentie",10.6423,7.2998
"109",279,4.02180685358255,"Vlugt, Simone van der","Het laatste offer",13.5282,7.9465
"110",283,5.75268817204301,"Winter, Leon de","Recht op terugkeer",12.7542,10.7465
"111",291,3.2620320855615,"Rijn, Linda van","Blue Curacao",10.0086,6.8794
"112",293,3.75280898876404,"Moelands, Kim","Weerloos",10.2764,6.4006
"113",299,5.82238010657194,"Verhulst, Dimitri","De laatste liefde van mijn moeder",16.5062,12.795
"114",300,5.81196581196581,"Siebelink, Jan","Oscar",11.0254,7.7384
"115",301,4.27272727272727,"Tex, Charles den","Wachtwoord",10.0007,6.9
"116",302,6.18867924528302,"Bakker, Gerbrand","De omweg",11.952,8.3779
"117",303,4.11721611721612,"Appel, René","Van twee kanten",11.0166,7.4758
"118",304,4.64705882352941,"Giphart, Ronald","Zeven jaar goede seks",14.5446,12.8555
"119",305,3.68367346938776,"Visser, Judith","Stuk",12.7089,8.8282
"120",306,2.68686868686869,"Proper, Emile / Eynden, Sabine van den","Gooische vrouwen",10.6807,7.6976
"121",309,6.54086956521739,"Mortier, Erwin","Gestameld liedboek",13.9075,10.103
"122",311,3.78756476683938,"Worthy, James","James Worthy",11.4959,7.7836
"123",313,5.95305164319249,"Springer, F.","Quadriga",15.05,11.8057
"124",314,6.125,"Grunberg, Arnon","Selmonosky's droom",14.6221,10.9404
"125",315,3.97260273972603,"Pauw, Marion","Daglicht",10.2738,6.817
"126",316,2.92086330935252,"Baantjer, Appie / Waal, Simon de","Een mes in de rug",10.0079,6.7748
"127",319,5.34892787524366,"Meer, Vonne van der","De vrouw met de sleutel",12.3634,7.834
"128",320,3.68181818181818,"Pauw, Marion","Villa Serena",9.6053,6.2086
"129",321,5.33060556464812,"Campert, Remco","Dagboek van een poes",12.1812,6.9802
"130",322,5.97597597597598,"Dewulf, Bernard","Kleine dagen",8.4294,5.708
"131",332,4.22751322751323,"Pauw, Marion","Zondaarskind",9.4125,6.6872
"132",333,3.26,"Groningen, Merel van","Misleid",10.6532,6.1995
"133",334,3.36170212765957,"Royen, Heleen van","Sabine",8.3333,5.8991
"134",336,6.0325,"Japin, Arthur","Dooi",8.777,6.068
"135",339,3.12144702842377,"Sambeek, Ciel van","Koninginnenrit",11.5702,7.0695
"136",341,5.67375886524823,"Loo, Tessa de","De grote moeder",13.743,9.3904
"137",342,3.84848484848485,"Pauw, Marion","Drift",9.6771,6.0433
"138",346,4.96907216494845,"Scholten, Jaap","Kameraad Baron",14.6629,9.4088
"139",354,4.55399061032864,"Vuijsje, Robert","Alleen maar foute mensen",10.1993,8.1132
"140",356,5.49397590361446,"Dorrestein, Renate","De zondagmiddagauto",13.6936,8.5075
"141",362,3.67428571428571,"Verhoef, Esther","Close-up",11.1747,7.8336
"142",364,6.24557956777996,"Bernlef, J.","Geleende levens",12.2831,7.8481
"143",366,5.09859154929577,"Galen, Alex van","Süskind",10.6431,6.1973
"144",369,5.57904411764706,"Brokken, Jan","Baltische zielen",14.0699,8.6533
"145",370,3.92957746478873,"Janssen, Roel","De tiende vrouw",10.9789,7.0907
"146",372,6.09291338582677,"Brijs, Stefan","Post voor mevrouw Bromley",12.5605,9.1762
"147",375,3.84320557491289,"Terlouw, Jan / Terlouw, Sanne","Hellehonden",11.8762,8.5567
"148",377,6.08947368421053,"Thomése, P.F.","De weldoener",12.8133,9.2684
"149",378,2.82857142857143,"Gastel, Chantal van","Geknipt voor jou",10.0548,8.0638
"150",385,2.70285714285714,"Gastel, Chantal van","Zwaar verliefd!",10.218,6.532
"151",391,4.3342939481268,"Appel, René","Weerzin",11.3908,7.8019
"152",392,6.1419624217119,"Bernlef, J.","De een zijn dood",11.3711,7.476
